Sample_ID,Participant_ID,Source_Row,Scenario_ID,Scenario_Name,Raw_Text,Label_Code,Clean_Text,Script_Type,Quality_Flag,Keep_Status,Duplicate_Check,Dataset_Split
S0001,P001,2,1,Academic Stress,Ane bn redda epa wenw.,3,Ane bn redda epa wenw.,Latin/Romanized,OK,KEEP,OK,Train
S0002,P001,2,2,Campus Injustice,Lecturewa ganan gannee na,3,Lecturewa ganan gannee na,Latin/Romanized,OK,KEEP,OK,Train
S0003,P001,2,3,Campus Culture/Ragging,Dawas 2k 3k campus yanne nathuwa innwa,2,Dawas 2k 3k campus yanne nathuwa innwa,Latin/Romanized,OK,KEEP,OK,Train
S0004,P001,2,4,Financial Stress,Kannath na me sare nm,1,Kannath na me sare nm,Latin/Romanized,OK,KEEP,OK,Train
S0005,P001,2,5,Logistics/Food Issues,Meewa kanne kohom d ane,1,Meewa kanne kohom d ane,Latin/Romanized,OK,KEEP,OK,Train
S0006,P001,2,6,Group Project Stress,Mn vitharai d oi karnn oni meka.ubl nikanma ne inne.awith udaw krnn,2,Mn vitharai d oi karnn oni meka.ubl nikanma ne inne.awith udaw krnn,Latin/Romanized,OK,KEEP,OK,Train
S0007,P001,2,7,Isolation,Me thawama awlen d innee..oka amathk karala damu,4,Me thawama awlen d innee..oka amathk karala damu,Latin/Romanized,OK,KEEP,OK,Train
S0008,P001,2,8,Academic Success - Difficult Subject,Anee pass wela.deyyo baluwa wge,5,Anee pass wela.deyyo baluwa wge,Latin/Romanized,OK,KEEP,OK,Train
S0009,P001,2,9,Academic Success - Repeat Subject,Mee paara nm goda,5,Mee paara nm goda,Latin/Romanized,OK,KEEP,OK,Train
S0010,P001,2,10,Freedom-Final Paper,Karadaren iwarai,5,Karadaren iwarai,Latin/Romanized,OK,KEEP,OK,Train
S0011,P001,2,11,Lightness-Final Paper,Eekath hari ehenam,5,Eekath hari ehenam,Latin/Romanized,OK,KEEP,OK,Train
S0012,P001,2,12,Social Evant - Batch Trip,Ada nm harima happy ,5,Ada nm harima happy,Latin/Romanized,OK,KEEP,OK,Train
S0013,P001,2,13,Social Evant - Campus Evant,Eka maru ane.,5,Eka maru ane.,Latin/Romanized,OK,KEEP,OK,Train
S0014,P001,2,14,Personal Win - Stipand/Mahapola,Awilla awilla,5,Awilla awilla,Latin/Romanized,OK,KEEP,OK,Train
S0015,P001,2,15,Personal Win - Internship,Araka set una.dn hithata nidahas ,5,Araka set una.dn hithata nidahas,Latin/Romanized,OK,KEEP,OK,Train
S0016,P001,2,16,Lectures - Attendance,Yannma oni d bn,3,Yannma oni d bn,Latin/Romanized,OK,KEEP,OK,Train
S0017,P001,2,17,Lectures - Cancellation, ndd bn lecture eka,3,ndd bn lecture eka,Latin/Romanized,OK,KEEP,OK,Train
S0018,P001,2,18,Commuting,Mn methana inne bn..traffic wadi ada.thwa vinadi 20k wge yai,4,Mn methana inne bn..traffic wadi ada.thwa vinadi 20k wge yai,Latin/Romanized,OK,KEEP,OK,Train
S0019,P001,2,19,Notes - PDF Request,Iiye lecture eke note eka dapnko,4,Iiye lecture eke note eka dapnko,Latin/Romanized,OK,KEEP,OK,Train
S0020,P001,2,20,Wi-Fi Password Request ,E mt wifi password kiynnko,3,E mt wifi password kiynnko,Latin/Romanized,OK,KEEP,OK,Train
S0021,P001,2,21,Food - Canteen Menu,Ada monad dnne na kann tiyenne canteen eke,4,Ada monad dnne na kann tiyenne canteen eke,Latin/Romanized,OK,KEEP,OK,Train
S0022,P001,2,22,Food - Let's Eat,Yaman kaala emu,5,Yaman kaala emu,Latin/Romanized,OK,KEEP,OK,Train
S0045,P003,4,1,Academic Stress,"Ado macho Assignment aka thaama iwarana nahana, Dannm Olwa pupuranna onna manna.",2,"Ado macho Assignment aka thaama iwarana nahana, Dannm Olwa pupuranna onna manna.",Latin/Romanized,OK,KEEP,OK,Train
S0046,P003,4,2,Campus Injustice,"Ado ara math lecturaya pachana kaliina, ",1,"Ado ara math lecturaya pachana kaliina,",Latin/Romanized,OK,KEEP,OK,Train
S0047,P003,4,3,Campus Culture/Ragging,"Macho mage kanthiya full tank akata langwala thiyanna, aniwa ara senior kollanta kalinawa adanam.",5,"Macho mage kanthiya full tank akata langwala thiyanna, aniwa ara senior kollanta kalinawa adanam.",Latin/Romanized,OK,KEEP,OK,Train
S0048,P003,4,4,Financial Stress,"Ado empty pocket macho, ",5,"Ado empty pocket macho,",Latin/Romanized,OK,KEEP,OK,Train
S0049,P003,4,5,Logistics/Food Issues,"Kogomada bang maawa kanna, mage dogy wath maawa kanna naha",5,"Kogomada bang maawa kanna, mage dogy wath maawa kanna naha",Latin/Romanized,OK,KEEP,OK,Train
S0050,P003,4,6,Group Project Stress,"maa araunta project aka ona nattham math nikam innawa maga part aka karala, mama lekata kiyanwa maga part aka har i arunnata ona kamak naha kiayala",5,"maa araunta project aka ona nattham math nikam innawa maga part aka karala, mama lekata kiyanwa maga part aka har i arunnata ona kamak naha kiayala",Latin/Romanized,OK,KEEP,OK,Train
S0051,P003,4,7,Isolation,"ath wala inna bang, akawath naha onawalawata, unnta onawalawa polima anna",5,"ath wala inna bang, akawath naha onawalawata, unnta onawalawa polima anna",Latin/Romanized,OK,KEEP,OK,Train
S0052,P003,4,8,Academic Success - Difficult Subject,"Ado Chemistry mama udinnma pass wala, anima defa paper aka balapu aka bilada kohada idala thiyanna ",5,"Ado Chemistry mama udinnma pass wala, anima defa paper aka balapu aka bilada kohada idala thiyanna",Latin/Romanized,OK,KEEP,OK,Train
S0053,P003,4,9,Academic Success - Repeat Subject,"ado paper aka goda, repeat karalama practice wala thama goda giya",5,"ado paper aka goda, repeat karalama practice wala thama goda giya",Latin/Romanized,OK,KEEP,OK,Train
S0054,P003,4,10,Freedom-Final Paper,ado pawanwa waga bang dannam,4,ado pawanwa waga bang dannam,Latin/Romanized,OK,KEEP,OK,Train
S0055,P003,4,11,Lightness-Final Paper,"macho wada goda, project aka submit kara walawata, feeling awesome dan",4,"macho wada goda, project aka submit kara walawata, feeling awesome dan",Latin/Romanized,OK,KEEP,OK,Train
S0056,P003,4,12,Social Evant - Batch Trip,"machchara innawada bang ape pathiya, ela naada set akama set unaama",5,"machchara innawada bang ape pathiya, ela naada set akama set unaama",Latin/Romanized,OK,KEEP,OK,Train
S0057,P003,4,13,Social Evant - Campus Evant,"ado boring bang, moko kiyanna himihita panimuda",5,"ado boring bang, moko kiyanna himihita panimuda",Latin/Romanized,OK,KEEP,OK,Train
S0058,P003,4,14,Personal Win - Stipand/Mahapola,macho salli watila moko kiyanna ubala,5,macho salli watila moko kiyanna ubala,Latin/Romanized,OK,KEEP,OK,Train
S0059,P003,4,15,Personal Win - Internship,"joba haribang, aninnada intership akata anna kiwwa,kolla aninnda idala full kiata marala ofiice yanna harida",5,"joba haribang, aninnada intership akata anna kiwwa,kolla aninnda idala full kiata marala ofiice yanna harida",Latin/Romanized,OK,KEEP,OK,Train
S0060,P003,4,16,Lectures - Attendance,"ado hata annama onada, aniwa anna ona kiyala nahana",5,"ado hata annama onada, aniwa anna ona kiyala nahana",Latin/Romanized,OK,KEEP,OK,Train
S0061,P003,4,17,Lectures - Cancellation,macho ada lectures nahan naada,5,macho ada lectures nahan naada,Latin/Romanized,OK,KEEP,OK,Train
S0062,P003,4,18,Commuting,"macho mama thaama bus aka, maharagama inna, 10min othana mama",5,"macho mama thaama bus aka, maharagama inna, 10min othana mama",Latin/Romanized,OK,KEEP,OK,Train
S0063,P003,4,19,Notes - PDF Request,ado matha lecture aka pdf aka awapanko hoda kolla waga.,5,ado matha lecture aka pdf aka awapanko hoda kolla waga.,Latin/Romanized,OK,KEEP,OK,Train
S0064,P003,4,20,Wi-Fi Password Request ,macho wi-fi password aka mokadda,5,macho wi-fi password aka mokadda,Latin/Romanized,OK,KEEP,OK,Train
S0065,P003,4,21,Food - Canteen Menu,"macho kantima ada dawalata monada, supurudu lada hoddaie bathuieda.",5,"macho kantima ada dawalata monada, supurudu lada hoddaie bathuieda.",Latin/Romanized,OK,KEEP,OK,Train
S0066,P003,4,22,Food - Let's Eat,"wanrang bang kaala anna, maara badagini dannam",5,"wanrang bang kaala anna, maara badagini dannam",Latin/Romanized,OK,KEEP,OK,Train
S0067,P004,5,1,Academic Stress,Ado stress bn...eli wenna kalin khmhri krgnn wnv meka,2,Ado stress bn...eli wenna kalin khmhri krgnn wnv meka,Latin/Romanized,OK,KEEP,OK,Train
S0068,P004,5,2,Campus Injustice,Ado ai bn eya ehema krnne lamainta? apita bariweida mekata mkuth krnna ,3,Ado ai bn eya ehema krnne lamainta? apita bariweida mekata mkuth krnna,Latin/Romanized,OK,KEEP,OK,Train
S0069,P004,5,3,Campus Culture/Ragging,Mt campus enna hithen na bn,1,Mt campus enna hithen na bn,Latin/Romanized,OK,KEEP,OK,Train
S0070,P004,5,4,Financial Stress,Athata keeyak hri ena job ekak hygththnm hri bn...Nththtm meka krnn ba mehema,4,Athata keeyak hri ena job ekak hygththnm hri bn...Nththtm meka krnn ba mehema,Latin/Romanized,OK,KEEP,OK,Train
S0071,P004,5,5,Logistics/Food Issues,Ekama kaama bn hamadama. Gdr wage nane epa wnv,1,Ekama kaama bn hamadama. Gdr wage nane epa wnv,Latin/Romanized,OK,KEEP,OK,Train
S0072,P004,5,6,Group Project Stress,Mun ekka khmd bn wdk krnne,1,Mun ekka khmd bn wdk krnne,Latin/Romanized,OK,KEEP,OK,Train
S0073,P004,5,7,Isolation,Mn tkk thnym eliywth ghn enw. Meka assema idla mt nththm pissu hdei,4,Mn tkk thnym eliywth ghn enw. Meka assema idla mt nththm pissu hdei,Latin/Romanized,OK,KEEP,OK,Train
S0074,P004,5,8,Academic Success - Difficult Subject,Ado mn pass oi ara subject eka.,5,Ado mn pass oi ara subject eka.,Latin/Romanized,OK,KEEP,OK,Train
S0075,P004,5,9,Academic Success - Repeat Subject,Ado ara subject eka pass wela bn,5,Ado ara subject eka pass wela bn,Latin/Romanized,OK,KEEP,OK,Train
S0076,P004,5,10,Freedom-Final Paper,Ammo athi yantham eh mgula iwarai,5,Ammo athi yantham eh mgula iwarai,Latin/Romanized,OK,KEEP,OK,Train
S0077,P004,5,11,Lightness-Final Paper,Ekath iwarai. Eka stress ekak iwr una,5,Ekath iwarai. Eka stress ekak iwr una,Latin/Romanized,OK,KEEP,OK,Train
S0078,P004,5,12,Social Evant - Batch Trip,Athal bn,5,Athal bn,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0079,P004,5,13,Social Evant - Campus Evant,Athal bn,5,Athal bn,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0080,P004,5,14,Personal Win - Stipand/Mahapola,"Salli watila bn, ubata watilada",5,"Salli watila bn, ubata watilada",Latin/Romanized,OK,KEEP,OK,Train
S0081,P004,5,15,Personal Win - Internship,Eh bn mge intern eka set una ,5,Eh bn mge intern eka set una,Latin/Romanized,OK,KEEP,OK,Train
S0082,P004,5,16,Lectures - Attendance,Me ht lec ekt ynnm onida? attendance balaida bn,2,Me ht lec ekt ynnm onida? attendance balaida bn,Latin/Romanized,OK,KEEP,OK,Train
S0083,P004,5,17,Lectures - Cancellation,Ht lec canceld bn?,3,Ht lec canceld bn?,Latin/Romanized,OK,KEEP,OK,Train
S0084,P004,5,18,Commuting,Me mn dn sliit eka lga bn inne. Ikmnt enn plwn wei,5,Me mn dn sliit eka lga bn inne. Ikmnt enn plwn wei,Latin/Romanized,OK,KEEP,OK,Train
S0085,P004,5,19,Notes - PDF Request,Eh mn gya sathye awe na... eda krpu note ekak thynwnm dpnko,5,Eh mn gya sathye awe na... eda krpu note ekak thynwnm dpnko,Latin/Romanized,OK,KEEP,OK,Train
S0086,P004,5,20,Wi-Fi Password Request ,Me student password eka mkdd bn?,5,Me student password eka mkdd bn?,Latin/Romanized,OK,KEEP,OK,Train
S0087,P004,5,21,Food - Canteen Menu,me canteen eke mnwd bn ad kanna thynne ,5,me canteen eke mnwd bn ad kanna thynne,Latin/Romanized,OK,KEEP,OK,Train
S0088,P004,5,22,Food - Let's Eat,Me waren kla enna yn,5,Me waren kla enna yn,Latin/Romanized,OK,KEEP,OK,Train
S0089,P005,6,1,Academic Stress,Dennam me magula athi wela bn,1,Dennam me magula athi wela bn,Latin/Romanized,OK,KEEP,OK,Train
S0090,P005,6,2,Campus Injustice,Use drugs ,1,Use drugs,Latin/Romanized,OK,KEEP,OK,Train
S0091,P005,6,3,Campus Culture/Ragging,Cry,3,Cry,Latin/Romanized,OK,KEEP,OK,Train
S0092,P005,6,4,Financial Stress,Machan same to homeless ,1,Machan same to homeless,Latin/Romanized,OK,KEEP,OK,Train
S0093,P005,6,5,Logistics/Food Issues,Melo rahak na bn,3,Melo rahak na bn,Latin/Romanized,OK,KEEP,OK,Train
S0111,P006,7,1,Academic Stress,මේක මොකක් හරි කර ගන්න ඔන බං...කර ගන්න බැරි උනොත් මොකක්කරන්නද... කල්දා ගන්න බැරිද දන්නෙ නෑ...,3,මේක මොකක් හරි කර ගන්න ඔන බං...කර ගන්න බැරි උනොත් මොකක්කරන්නද... කල්දා ගන්න බැරිද දන්නෙ නෑ...,Sinhala Script,OK,KEEP,OK,Train
S0112,P006,7,2,Campus Injustice,අපිට  තමා හැමදේම වැරදියට කරන්නේ... මං කොච්චර හොදට කරලද... ඒත් මට තමයි අසාදාරන වැඩ කරන්නේ..,1,අපිට තමා හැමදේම වැරදියට කරන්නේ... මං කොච්චර හොදට කරලද... ඒත් මට තමයි අසාදාරන වැඩ කරන්නේ..,Sinhala Script,OK,KEEP,OK,Train
S0113,P006,7,3,Campus Culture/Ragging,හිතාගෙන ඉන්නේ සීනියර්ස්ල නිසා හැමදේකටම කට පියන් ඉන්න ඔන කියලා.. ගහන්න පුලුවන් උස්සලා පොලොවේ,1,හිතාගෙන ඉන්නේ සීනියර්ස්ල නිසා හැමදේකටම කට පියන් ඉන්න ඔන කියලා.. ගහන්න පුලුවන් උස්සලා පොලොවේ,Sinhala Script,OK,KEEP,OK,Train
S0114,P006,7,4,Financial Stress,මේ තියන ටිකෙන් මොකක් හරි මැච් එකක් ගහන්න ඔන...නැත්නම් ගෙදරටත් බරක් ඒක... ,5,මේ තියන ටිකෙන් මොකක් හරි මැච් එකක් ගහන්න ඔන...නැත්නම් ගෙදරටත් බරක් ඒක...,Sinhala Script,OK,KEEP,OK,Train
S0115,P006,7,5,Logistics/Food Issues,තවත්නම් ඔතනින් කන්නෙ නෑ,1,තවත්නම් ඔතනින් කන්නෙ නෑ,Sinhala Script,OK,KEEP,OK,Train
