Sample_ID,Participant_ID,Scenario_ID,Scenario_Name,Clean_Text,Intent_ID,Intent_Name,Script_Type,Dataset_Split
S0001,P001,1,Academic Stress,Ane bn redda epa wenw.,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0002,P001,2,Campus Injustice,Lecturewa ganan gannee na,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0003,P001,3,Campus Culture/Ragging,Dawas 2k 3k campus yanne nathuwa innwa,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0004,P001,4,Financial Stress,Kannath na me sare nm,2,FINANCIAL_STRESS,Latin/Romanized,Train
S0005,P001,5,Logistics/Food Issues,Meewa kanne kohom d ane,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0006,P001,6,Group Project Stress,Mn vitharai d oi karnn oni meka.ubl nikanma ne inne.awith udaw krnn,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0007,P001,7,Isolation,Me thawama awlen d innee..oka amathk karala damu,4,SOCIAL_ISOLATION,Latin/Romanized,Train
S0008,P001,8,Academic Success - Difficult Subject,Anee pass wela.deyyo baluwa wge,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0009,P001,9,Academic Success - Repeat Subject,Mee paara nm goda,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0010,P001,10,Freedom-Final Paper,Karadaren iwarai,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0011,P001,11,Lightness-Final Paper,Eekath hari ehenam,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0012,P001,12,Social Evant - Batch Trip,Ada nm harima happy,7,SOCIAL_EVENT,Latin/Romanized,Train
S0013,P001,13,Social Evant - Campus Evant,Eka maru ane.,7,SOCIAL_EVENT,Latin/Romanized,Train
S0014,P001,14,Personal Win - Stipand/Mahapola,Awilla awilla,8,PERSONAL_WIN,Latin/Romanized,Train
S0015,P001,15,Personal Win - Internship,Araka set una.dn hithata nidahas,8,PERSONAL_WIN,Latin/Romanized,Train
S0016,P001,16,Lectures - Attendance,Yannma oni d bn,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0017,P001,17,Lectures - Cancellation,ndd bn lecture eka,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0018,P001,18,Commuting,Mn methana inne bn..traffic wadi ada.thwa vinadi 20k wge yai,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0019,P001,19,Notes - PDF Request,Iiye lecture eke note eka dapnko,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0020,P001,20,Wi-Fi Password Request ,E mt wifi password kiynnko,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0021,P001,21,Food - Canteen Menu,Ada monad dnne na kann tiyenne canteen eke,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0022,P001,22,Food - Let's Eat,Yaman kaala emu,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0023,P002,1,Academic Stress,පුදුම stress එකක්නෙ,0,ACADEMIC_STRESS,Mixed Sinhala+Latin,Validation
S0024,P002,2,Campus Injustice,මාර කේන්ති මට,1,CAMPUS_SAFETY_INJUSTICE,Sinhala Script,Validation
S0025,P002,3,Campus Culture/Ragging,වදයක් නේ මාර තරහක් එන්නෙ,1,CAMPUS_SAFETY_INJUSTICE,Sinhala Script,Validation
S0026,P002,4,Financial Stress,එපාවෙලා තියෙන්නේ හැමදාම සල්ලි නැ,2,FINANCIAL_STRESS,Sinhala Script,Validation
S0027,P002,5,Logistics/Food Issues,මෙලො රහක් නැ කන්න හිතෙන්නැ,3,DAILY_CAMPUS_LOGISTICS,Sinhala Script,Validation
S0028,P002,6,Group Project Stress,Contribution නම් බලාපොරොත්තු වෙන්න එපා මට තනියම වැඩ කරන්න බැ නෙ,0,ACADEMIC_STRESS,Mixed Sinhala+Latin,Validation
S0029,P002,7,Isolation,පාඩුවෙ හිටියනම් ඉවරයි,4,SOCIAL_ISOLATION,Sinhala Script,Validation
S0030,P002,8,Academic Success - Difficult Subject,හිතුවෙ නැ නෙ මෙච්චර හොද රිසල්ට් එකක් එයි කියල,5,ACADEMIC_SUCCESS,Sinhala Script,Validation
S0031,P002,9,Academic Success - Repeat Subject,අම්මො ඔයින් ගියා මදැයි,5,ACADEMIC_SUCCESS,Sinhala Script,Validation
S0032,P002,10,Freedom-Final Paper,අම්මො ලොකු දෙයක්,6,FINAL_PAPER_RELIEF,Sinhala Script,Validation
S0033,P002,11,Lightness-Final Paper,යන්තම් ඒකත් ඉවරයි,6,FINAL_PAPER_RELIEF,Sinhala Script,Validation
S0034,P002,12,Social Evant - Batch Trip,Fun තමයි,7,SOCIAL_EVENT,Mixed Sinhala+Latin,Validation
S0035,P002,13,Social Evant - Campus Evant,සුපිරි ඉතිං,7,SOCIAL_EVENT,Sinhala Script,Validation
S0036,P002,14,Personal Win - Stipand/Mahapola,සල්ලි වැටිලා,8,PERSONAL_WIN,Sinhala Script,Validation
S0037,P002,15,Personal Win - Internship,කල් ගියා හැබැයි හොද internship එකක් හම්බුනෙ,8,PERSONAL_WIN,Mixed Sinhala+Latin,Validation
S0038,P002,16,Lectures - Attendance,මේ හෙට attendance අනිවාර්ය ද,9,LECTURE_MANAGEMENT,Mixed Sinhala+Latin,Validation
S0039,P002,17,Lectures - Cancellation,⁣lectures cancel ද,9,LECTURE_MANAGEMENT,Mixed Sinhala+Latin,Validation
S0040,P002,18,Commuting,තව ටිකක් දුරයි පැය දෙකක් වගෙ යයි,3,DAILY_CAMPUS_LOGISTICS,Sinhala Script,Validation
S0041,P002,19,Notes - PDF Request,ඔයා ලග note ඔක්කොම තියනවද,10,CAMPUS_RESOURCE_REQUEST,Mixed Sinhala+Latin,Validation
