Scenario_ID,Scenario_Name,Sample_Count
1,Academic Stress,60
2,Campus Injustice,63
3,Campus Culture/Ragging,58
4,Financial Stress,61
5,Logistics/Food Issues,61
6,Group Project Stress,57
7,Isolation,54
8,Academic Success - Difficult Subject,61
9,Academic Success - Repeat Subject,60
10,Freedom-Final Paper,58
11,Lightness-Final Paper,57
12,Social Evant - Batch Trip,57
13,Social Evant - Campus Evant,58
14,Personal Win - Stipand/Mahapola,57
15,Personal Win - Internship,56
16,Lectures - Attendance,60
17,Lectures - Cancellation,60
18,Commuting,59
19,Notes - PDF Request,60
20,Wi-Fi Password Request ,60
21,Food - Canteen Menu,59
22,Food - Let's Eat,58
